PO Customer,OV Jypesa,Name,Item No.,Item/Service Description,FECHA HORACIO,Cajas a Entregar,Tarimas,UNIDAD,ESTATUS,CITA,HORA,PRODUCTO,,,,,,,,,,,,,,,,,,,,,,,
OC14492/1,191067,GRUPO AGC,C09421-L01,712117 Acondicionador SEH Cola de Caballo Jalea Real 1000 ml 6 pzs/caja [140 cpp],25/09/2026,560,4,Camion,En Tiempo,25/09/2026,10:00 a. m.,ACONDICIONADOR,,,,,,,,,,,,,,,,,,,,,,,
OC14492/1,191067,GRUPO AGC,C09421-L01,712117 Acondicionador SEH Cola de Caballo Jalea Real 1000 ml 6 pzs/caja [140 cpp],28/09/2026,494,4,Camion,En Tiempo,28/09/2026,11:00 a. m.,ACONDICIONADOR,,,,,,,,,,,,,,,,,,,,,,,
OC14766,192183,GRUPO AGC,C09421-L02,PT10219 Shampoo SEH Rizos de Impacto 1000 ml 6 pzs/caja [140 cpp],28/09/2026,548,4,Camion,En Tiempo,28/09/2026,11:00 a. m.,SHAMPOO RIZOS,,,,,,,,,,,,,,,,,,,,,,,
OC14492/2,191068,GRUPO AGC,C09421-L01,712117 Acondicionador SEH Cola de Caballo Jalea Real 1000 ml 6 pzs/caja [140 cpp],29/09/2026,"1,120",8,Camion,En Tiempo,30/09/2026,10:00 a. m.,ACONDICIONADOR,,,,,,,,,,,,,,,,,,,,,,,
OC13722,190058,GRUPO AGC,C09421-L03,PT10264 Crema corporal ARV UREA Almendra calendula 420 ml 12 pzs/caja [120 cpp],30/09/2026,417,3,Camion,En Tiempo,01/10/2026,11:00 a. m.,CREMA ALMENDRA,,,,,,,,,,,,,,,,,,,,,,,
OC14492/2,191068,GRUPO AGC,C09421-L01,"712117 Acondicionador SEH / Plan original 8 tarimas, pendientes 3 tarimas de esta partida",01/10/2026,"1,120",5,Camion,En Tiempo,01/10/2026,11:00 a. m.,"ACONDICIONADOR / Plan original 8 tarimas, pendientes 3 tarimas de esta partida",,,,,,,,,,,,,,,,,,,,,,,
OC14492/2,191068,GRUPO AGC,C09421-L01,712117 Acondicionador SEH Cola de Caballo Jalea Real 1000 ml 6 pzs/caja [140 cpp],02/10/2026,"1,120",8,Camion,En Tiempo,02/10/2026,11:00 a. m.,ACONDICIONADOR,,,,,,,,,,,,,,,,,,,,,,,
OC14492/2,191068,GRUPO AGC,C09421-L01,712117 Acondicionador SEH Cola de Caballo Jalea Real 1000 ml 6 pzs/caja [140 cpp],06/10/2026,"1,120",8,Camion,En Tiempo,,,ACONDICIONADOR,,,,,,,,,,,,,,,,,,,,,,,
OC14492/2,191068,GRUPO AGC,C09421-L01,712117 Acondicionador SEH Cola de Caballo Jalea Real 1000 ml 6 pzs/caja [140 cpp],08/10/2026,"1,120",8,Camion,En Tiempo,,,ACONDICIONADOR,,,,,,,,,,,,,,,,,,,,,,,
OC12088,188473,GRUPO AGC,C09421-L08,PT10184 Crema Estilizadora Carbon Activado Lobo Negro Depresible 150 ml C/12 pzs [224 CPP],15/10/2026,"1,667",8,Camion,En Tiempo,,,CREMA ESTILIZADORA,,,,,,,,,,,,,,,,,,,,,,,
OC14492/2,191068,GRUPO AGC,C09421-L01,712117 Acondicionador SEH Cola de Caballo Jalea Real 1000 ml 6 pzs/caja [140 cpp],15/10/2026,"1,120",8,Camion,En Tiempo,,,ACONDICIONADOR,,,,,,,,,,,,,,,,,,,,,,,
OC14492/2,191068,GRUPO AGC,C09421-L01,712117 Acondicionador SEH Cola de Caballo Jalea Real 1000 ml 6 pzs/caja [140 cpp],22/10/2026,"1,120",8,Camion,En Tiempo,,,ACONDICIONADOR,,,,,,,,,,,,,,,,,,,,,,,
OC14492/2,191068,GRUPO AGC,C09421-L01,712117 Acondicionador SEH Cola de Caballo Jalea Real 1000 ml 6 pzs/caja [140 cpp],23/10/2026,494,4,Camion,En Tiempo,,,ACONDICIONADOR,,,,,,,,,,,,,,,,,,,,,,,
OC14976,192120,GRUPO AGC,C09421-L02,PT10219 Shampoo SEH Rizos de Impacto 1000 ml 6 pzs/caja [140 cpp],23/10/2026,548,4,Camion,En Tiempo,,,SHAMPOO RIZOS,,,,,,,,,,,,,,,,,,,,,,,
OC14976,192120,GRUPO AGC,C09421-L02,PT10219 Shampoo SEH Rizos de Impacto 1000 ml 6 pzs/caja [140 cpp],16/10/2026,"1,120",8,Camion,En Tiempo,,,SHAMPOO RIZOS,,,,,,,,,,,,,,,,,,,,,,,
OC13722,193251,GRUPO AGC,C09421-L06,"PT20066 Intensive Hydration Lotion ARV (STP) 14,2 oz/420 ml 12 pzs/caja [120 cpp]",06/11/2026,834,7,Camión,En Tiempo,,,CREMA HYD,,,,,,,,,,,,,,,,,,,,,,,
OC14734,191388,GRUPO AGC,C09421-L04,"PT10271 Crema corporal ARV Concha Nacar, Manzanilla y Arroz 420 ml 12 pzs/caja [120 cpp]",20/10/2026,417,3,Camión,En Tiempo,,,CREMA CONCHA NACAR,,,,,,,,,,,,,,,,,,,,,,,
OC14734,191388,GRUPO AGC,C09421-L04,"PT10271 Crema corporal ARV Concha Nacar, Manzanilla y Arroz 420 ml 12 pzs/caja [120 cpp]",06/11/2026,416,3,Camión,En Tiempo,,,CREMA CONCHA NACAR,,,,,,,,,,,,,,,,,,,,,,,
OC13722,190058,GRUPO AGC,C09421-L03,PT10264 Crema corporal ARV UREA Almendra calendula 420 ml 12 pzs/caja [120 cpp],06/11/2026,417,3,Camion,En Tiempo,,,CREMA ALMENDRA,,,,,,,,,,,,,,,,,,,,,,,
OC16567 #2,194416,GRUPO AGC,C09421-L01,712117 Acondicionador SEH Cola de Caballo Jalea Real 1000 ml 6 pzs/caja [140 cpp],26/10/2026,"1,120",8,Camion,En Tiempo,,,ACONDICIONADOR,,,,,,,,,,,,,,,,,,,,,,,
OC16567 #2,194416,GRUPO AGC,C09421-L01,712117 Acondicionador SEH Cola de Caballo Jalea Real 1000 ml 6 pzs/caja [140 cpp],28/10/2026,"1,120",8,Camion,En Tiempo,,,ACONDICIONADOR,,,,,,,,,,,,,,,,,,,,,,,
