FECHA,IDENTIFICADOR ENVIO,VALOR MERCANCIA,CAJAS,AMAZON ,ESTATUS,PICKING (30 MIN),PREPARACION (20 MIN),CHOFER (2 HORAS),TRANSPORTE,TOTAL,COSTO DE DISTRIBUCION POR CAJA,PORCENTAJE LOGISTICO
05/01/2026,FBA195RX2NM4,"$35,447.18",68,GDL2,ENTREGADO,$32.00,$20.00,$124.00,$225.00,$401.00,$5.90,1.13%
08/01/2026,FBA195RSQC2S,"$20,476.12",84,GDL1,ENTREGADO,$32.00,$20.00,$124.00,$225.00,$401.00,$4.77,1.96%
06/02/2026,FBA1974HJQT2,"$7,756.09",30,GDL1,ENTREGADO,$32.00,$20.00,$124.00,$225.00,$401.00,$13.37,5.17%
05/02/2026,FBA1974GMXDW,"$29,733.33",70,GDL2,ENTREGADO,$32.00,$20.00,$124.00,$225.00,$401.00,$5.73,1.35%
04/03/2026,FBA1989J5ZKV,"$6,793.21",30,GDL1,ENTREGADO,$32.00,$20.00,$124.00,$225.00,$401.00,$13.37,5.90%
05/03/2026,FBA1989KZNKN,"$38,342.65",75,GDL2,ENTREGADO,$32.00,$20.00,$124.00,$225.00,$401.00,$5.35,1.05%
26/03/2026,FBA199H1PXYX,"$21,548.22",100,GDL1,ENTREGADO,$32.00,$20.00,$124.00,$225.00,$401.00,$4.01,1.86%
30/03/2026,FBA199H1MDDF,"$70,352.81",130,GDL2,ENTREGADO,$32.00,$20.00,$124.00,$225.00,$401.00,$3.08,0.57%
05/05/2026,FBA19CBMW35V,"$50,039.01",93,GDL2,EN PROCESO,$32.00,$20.00,$124.00,$225.00,$401.00,$4.31,0.80%
04/05/2026,FBA19CBQ6KG1,"$28,423.32",150,GDL1,EN PROCESO,$32.00,$20.00,$124.00,$225.00,$401.00,$2.67,1.41%
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
