FECHA_HORA,USUARIO,MODULO
2026-08-06 19:56:06,Rigoberto,ACCESS CONTROL
2026-08-06 19:56:21,Rigoberto,ACCESS CONTROL
2026-08-06 19:56:47,Rigoberto,ACCESS CONTROL
2026-08-06 19:57:12,Rigoberto,ACCESS CONTROL
2026-08-06 19:59:00,Rigoberto,ACCESS CONTROL
2026-08-06 19:59:34,Rigoberto,ACCESS CONTROL
2026-08-06 20:00:50,Rigoberto,ACCESS CONTROL
2026-08-06 21:48:45,Rigoberto,ACCESS CONTROL
2026-08-06 21:50:03,Rigoberto,ACCESS CONTROL
2026-08-06 21:50:29,Rigoberto,ACCESS CONTROL
2026-08-06 22:06:24,Rigoberto,ACCESS CONTROL
2026-08-06 22:16:05,Rigoberto,ACCESS CONTROL
2026-08-06 22:16:14,Rigoberto,ACCESS CONTROL
2026-08-06 22:16:15,Rigoberto,ACCESS CONTROL
2026-08-06 22:16:16,Rigoberto,ACCESS CONTROL
2026-08-06 22:29:17,Rigoberto,ACCESS CONTROL
2026-08-06 22:35:03,Rigoberto,ACCESS CONTROL
2026-08-06 22:45:52,Rigoberto,ACCESS CONTROL
2026-08-06 22:45:53,Rigoberto,ENTREGAS - NACIONAL
2026-08-06 23:13:39,Rigoberto,ACCESS CONTROL
2026-08-06 23:13:56,Rigoberto,ACCESS CONTROL
2026-08-06 23:13:57,Rigoberto,DASHBOARD
2026-08-06 23:14:29,Cynthia,DASHBOARD
2026-08-06 23:14:41,Cynthia,DASHBOARD
2026-08-06 23:15:33,Rigoberto,ACCESS CONTROL
2026-08-06 23:15:35,Rigoberto,ACCESS CONTROL
2026-08-06 23:16:45,Rigoberto,ACCESS CONTROL
2026-08-06 23:16:46,Rigoberto,CENTRO DE DATOS - ASIGNAR FLETERA
2026-08-06 23:17:08,Rigoberto,ACCESS CONTROL
2026-08-06 23:18:48,Rigoberto,ACCESS CONTROL
2026-08-06 23:18:49,Rigoberto,ACCESS CONTROL
2026-08-06 23:22:41,Rigoberto,ACCESS CONTROL
2026-08-06 23:22:51,Rigoberto,ACCESS CONTROL
2026-08-06 23:32:37,Rigoberto,ACCESS CONTROL
2026-08-06 23:32:38,Rigoberto,ENTREGAS - NACIONAL
2026-08-06 23:44:04,Rigoberto,ENTREGAS - NACIONAL
2026-08-07 00:45:46,Rigoberto,CENTRO DE DATOS - ASIGNAR FLETERA
2026-08-07 04:23:40,Rigoberto,ENTREGAS - NACIONAL
2026-08-07 15:36:58,Rigoberto,ENTREGAS - NACIONAL
2026-08-07 16:24:34,Rigoberto,CENTRO DE DATOS - ETIQUETAS
2026-08-07 18:09:17,Rigoberto,ENTREGAS - NACIONAL
2026-08-07 22:07:58,Rigoberto,ENTREGAS - NACIONAL
2026-08-07 22:32:12,Rigoberto,ENTREGAS - NACIONAL
2026-08-07 23:54:25,Rigoberto,ENTREGAS - NACIONAL
2026-08-08 15:35:00,Rigoberto,CENTRO DE DATOS - ETIQUETAS
2026-08-08 17:44:54,Rigoberto,ENTREGAS - NACIONAL
2026-08-10 16:01:22,Rigoberto,ENTREGAS - NACIONAL
2026-08-10 17:30:36,Rigoberto,CENTRO DE DATOS - ASIGNAR FLETERA
2026-08-10 18:19:57,Rigoberto,ENTREGAS - NACIONAL
2026-08-10 19:24:12,Rigoberto,ENTREGAS - NACIONAL
2026-08-10 20:36:38,Rigoberto,ENTREGAS - NACIONAL
2026-08-10 22:29:49,Rigoberto,ENTREGAS - NACIONAL
2026-08-11 15:58:58,Rigoberto,CENTRO DE DATOS - ESCANEAR QR
2026-08-11 21:22:59,Rigoberto,ENTREGAS - NACIONAL
2026-08-11 21:27:00,Rigoberto,CENTRO DE DATOS - CARGAR DATOS
2026-08-11 21:27:09,Rigoberto,CENTRO DE DATOS - ASIGNAR FLETERA
2026-08-11 21:46:54,Rigoberto,ENTREGAS - NACIONAL
2026-08-11 23:18:22,Rigoberto,ACCESS CONTROL
2026-08-11 23:19:45,Rigoberto,ACCESS CONTROL
2026-08-11 23:20:23,Rigoberto,ACCESS CONTROL
2026-08-11 23:23:13,Rigoberto,ACCESS CONTROL
2026-08-11 23:23:57,Rigoberto,ACCESS CONTROL
2026-08-11 23:28:58,Rigoberto,ACCESS CONTROL
2026-08-11 23:29:43,Rigoberto,ACCESS CONTROL
2026-08-11 23:36:44,Rigoberto,ACCESS CONTROL
2026-08-11 23:38:08,Rigoberto,ACCESS CONTROL
2026-08-11 23:41:11,Rigoberto,ACCESS CONTROL
2026-08-11 23:41:12,Rigoberto,DASHBOARD
2026-08-11 23:49:05,JMoreno,REPORTES - ENVIO DE MUESTRAS
2026-08-11 23:58:00,Rigoberto,ACCESS CONTROL
2026-08-12 00:15:58,Rigoberto,ACCESS CONTROL
2026-08-12 00:16:09,Rigoberto,ACCESS CONTROL
2026-08-12 00:19:22,Cris,DASHBOARD
2026-08-12 00:19:29,Cris,DASHBOARD
2026-08-12 00:22:24,Cris,DASHBOARD
2026-08-12 00:22:28,Cris,DASHBOARD
2026-08-12 00:40:50,Rigoberto,ENTREGAS - NACIONAL
2026-08-12 01:06:50,Rigoberto,CENTRO DE DATOS - ESCANEAR QR
2026-08-12 01:19:26,Rigoberto,ENTREGAS - NACIONAL
2026-08-12 01:22:57,Rigoberto,CENTRO DE DATOS - ESCANEAR QR
2026-08-12 01:23:32,Rigoberto,DASHBOARD
2026-08-12 01:29:30,Rigoberto,ENTREGAS - NACIONAL
2026-08-12 16:24:52,Rigoberto,CENTRO DE DATOS - ASIGNAR FLETERA
2026-08-12 17:25:25,Rigoberto,CENTRO DE DATOS - ETIQUETAS
2026-08-12 17:48:46,Rigoberto,CENTRO DE DATOS - ESCANEAR QR
2026-08-12 17:49:38,Rigoberto,CENTRO DE DATOS - ETIQUETAS
2026-08-12 17:50:12,Rigoberto,ENTREGAS - NACIONAL
2026-08-12 17:51:32,Rigoberto,CENTRO DE DATOS - ESCANEAR QR
2026-08-12 18:08:17,Rigoberto,ENTREGAS - NACIONAL
