Factura,Almacen,Fecha_Conta,Cliente,Nombre_Cliente,Nombre_Extran,Domicilio,Colonia,Cuidad,Estado,CP,CAJAS,SURTIDOR,PAQUETERIA,FECHA,INCIDENCIA
657,1,2026-02-10,C09193,ESTRATEGIAS METROMEX,HOLIDAY INN TULUM (TUYDT),AV. COBA SUR LOTE 1 MZA 018 REGION 004,CENTRO,MUNICIPIO DE TULUM,QR,77760,1,,,,
661,1,2026-02-19,C07513,HOTEL REAL DE LA PEÑA,HOTEL REAL DE LA PEÑA,CALLE PORFIRIO DIAZ #1,CENTRO,BERNAL,QUE,76680,1,,,,
234464,3,2026-02-09,C03616,REPRESENTACIONES TURISTICAS MEXICO,BAHIA PRINCIPE,Entre Calle HOTEL OASIS AKUMAL Y Calle HACIENDA DOÑA ISABEL SN,Akumal,Tulum,QR,77776,5,,,,
234465,3,2026-02-09,C03616,REPRESENTACIONES TURISTICAS MEXICO,BAHIA PRINCIPE,Entre Calle HOTEL OASIS AKUMAL Y Calle HACIENDA DOÑA ISABEL SN,Akumal,Tulum,QR,77776,93,,,,
234466,1,2026-02-09,C08507,OPERADORA TURISTICA SEBASTOPOL,"HAMPTON VERACRUZ BOCA DEL RIO, VERACRUZ, MEXICO (VERAC)",BLVD A RUIZ CORTINES 3533,FRACC DE LAS AMERICA,BOCA DEL RIO,VER,94299,4,,,,
234467,3,2026-02-09,C08244,SPCH CIUDAD DEL CARMEN,CITY EXPRESS PLUS CANCUN AEROPUERTO RIVIERA  (CPCHC),"CARRETERA FEDERAL CANCUN PUERTO – MORELOS, KM 21, MZ-01 L-1-22, UPE UC - 05",SM 47,CANCUN,QR,77506,5,,,,
234468,1,2026-02-09,C08546,GRUPO HOTELERO GVR,HOTEL RIVI,IGNACIO PESQUEIRA #921,LOS NARANJOS,NAVOJOA,SON,85835,20,,,,
234469,1,2026-02-09,C09275,TURIFRESNO,HOTEL DEL FRESNO,AV. HIDALGO #109 SUR,CENTRO,FRESNILLO,ZAC,99000,2,,,,
234470,1,2026-02-09,C00030,INMO F,ALOFT GUADALAJARA SUR (GDLPU 5528),AV. PUNTO SUR 235,LOS GAVILANES,TLAJOMULCO DE ZUÑIGA,JAL,45645,3,,,,
234472,1,2026-02-09,C01687,PARADISE REAL DE GUADALAJARA,PARADISE REAL DE GUADALAJARA,PERIFERICO SUR No.7200,FRACC.INDUSTRIAL EL CAMINO,TLAQUEPAQUE,JAL,45601,12,,,,
234474,1,2026-02-09,C09639,HOTELES EURO MEXICO POZA RICA,HOTEL PARIS FC,BOULEVARD ADOLFO RUIZ CORTINES 1328,CAZONES,POZA RICA DE HIDALGO,VER,93230,12,,,,
234475,1,2026-02-09,C09639,HOTELES EURO MEXICO POZA RICA,HOTEL PARIS FC,BOULEVARD ADOLFO RUIZ CORTINES 1328,CAZONES,POZA RICA DE HIDALGO,VER,93230,2,,,,
234476,1,2026-02-09,CLIESP,VENTAS DE MOSTRADOR,VENTAS DE MOSTRADOR,PRIVADA DEL GALLO 1525,LA AURORA,GUADALAJARA,JAL,44460,1,,,,
234477,1,2026-02-09,C07190,OPERADORA SX DEL SURESTE,CITY JUNIOR MERIDA ALTABRISA (CJMID),CALLE 4 PERIFÉRICO ENTRE CALLE 7 Y 9C,SANTA RITA CHOLUL,MERIDA,YUC,97130,10,,,,
234478,1,2026-02-09,C07187,IMPULSORA PLAZA TIJUANA,CITY EXPRESS IRAPUATO (CEIRA),BLVD. VILLAS DE IRAPUATO No. 1362,EJIDO IRAPUATO,IRAPUATO,GTO,36643,11,,,,
234479,1,2026-02-09,C07317,IMPULSORA PLAZA VILLA HERMOSA,CITY EXPRESS LA PAZ (CELAP),CARRETERA LA PAZ - PICHILINGUE KM 2.5 S/N,LOMAS DE PALMIRA,LA PAZ,BCS,23010,15,,,,
234480,1,2026-02-09,CLIESP,VENTAS DE MOSTRADOR,VENTAS DE MOSTRADOR,PRIVADA DEL GALLO 1525,LA AURORA,GUADALAJARA,JAL,44460,3,,,,
234481,1,2026-02-09,C01795,INMOBILIARIA CENTAURO DEL NORTE,HOTEL SANTA CRUZ,BLVD.FRANCISCO VILLA 100,FRACC. LAS AMERICAS,DURANGO,DUR,34200,14,,,,
234482,1,2026-02-09,CLIESP,VENTAS DE MOSTRADOR,VENTAS DE MOSTRADOR,PRIVADA DEL GALLO 1525,LA AURORA,GUADALAJARA,JAL,44460,2,,,,
234483,1,2026-02-09,C01005,HOTELES MODERNOS,RAMADA PLAZA LEON,PORTAL BRAVO 14,CENTRO,LEON,GTO,37000,5,,,,
234487,1,2026-02-09,C08358,PAKEAH,"HILTON VALLARTA RIVIERA ALL-INCLUSIVE RESORT,PUERTO VALLARTA,MEXICO (PVRPA)",CARRETERA BARRA DE NAVIDAD KM 4.5,ZONA HOTELERA SUR,PUERTO VALLARTA,JAL,38390,11,,,,
234488,1,2026-02-09,C07513,HOTEL REAL DE LA PEÑA,HOTEL REAL DE LA PEÑA,CALLE PORFIRIO DIAZ #1,CENTRO,BERNAL,QUE,76680,9,,,,
234489,1,2026-02-09,C08489,DECAMERON,DECAMERON LOS COCOS,RETORNO LAS PALMAS S/N,SOL NUEVO,RINCON DE GUAYABITOS,NAY,63727,170,,,,
234490,1,2026-02-09,C08447,DECAMERON,DECAMERON COMPLEX A0157904,CALLE LAZARO CARDENAS 150,COLONIA LA DORADA,BUCERIAS,NAY,63732,60,,,,
234491,1,2026-02-09,C03826,OPERADORA ENCORE QUERETARO,ENCORE QUERETARO (EQRO),CARRETERA QUERETARO-SAN LUIS POTOSÍ #11515,EL SALITRE,QUERETARO,QUE,76230,53,,,,
234492,1,2026-02-09,C08706,ESNEIDER FERNANDO TABARES CEBALLOS,ESNEIDER FERNANDO TABARES CEBALLO,CIRCUITO REAL SAN JOSE SUR No. 56,RESIDENCIAL PONIENTE,ZAPOPAN,JAL,45136,2,,,,
234493,1,2026-02-09,C06042,OPERADORA Y SERVICIOS OLINALA,HOTEL VILLAMAR PRINCESA,BLVD. CIRCUITO OLINALA LOTE 1,OLINALA PRINCESA,ACAPULCO,GRO,39890,3,,,,
