Fecha,Tipo,Categoria,Concepto,Monto,Cuenta
2026-06-09 17:27,1. Ingreso a Caja,Reabastecimiento de Caja,PARA ENVIO DE CITY EXPRESS,5528.88,Caja Efectivo (Matriz)
2026-06-09 17:31,2. Egreso Directo,Paquetería (FedEx/DHL/Estafeta),F237439,-1304.4,Caja Efectivo (Matriz)
2026-06-09 17:32,1. Ingreso a Caja,Paquetería (FedEx/DHL/Estafeta),F238583,-2920.08,Caja Efectivo (Matriz)
2026-06-09 17:33,1. Ingreso a Caja,Paquetería (FedEx/DHL/Estafeta),F238134,-1304.4,Caja Efectivo (Matriz)
2026-06-09 17:49,1. Ingreso a Caja,Reabastecimiento de Caja,PARA ENVIO DE PEDIDOS,1200.0,Caja Efectivo (Matriz)
2026-06-09 17:49,1. Ingreso a Caja,Reabastecimiento de Caja,PARA ENVIOS DE PEDIDOS,1400.0,Caja Efectivo (Matriz)
2026-06-09 17:50,1. Ingreso a Caja,Reabastecimiento de Caja,PARA ENVIO DE PEDIDOS,500.0,Caja Efectivo (Matriz)
2026-06-09 17:51,2. Egreso Directo,Paquetería (FedEx/DHL/Estafeta),F239191,-1304.42,Caja Efectivo (Matriz)
2026-06-09 17:53,1. Ingreso a Caja,Paquetería (FedEx/DHL/Estafeta),F239350,-542.64,Caja Efectivo (Matriz)
2026-06-09 17:54,2. Egreso Directo,Paquetería (FedEx/DHL/Estafeta),F239027,-1050.48,Caja Efectivo (Matriz)
