Fecha,Tipo,Categoria,Concepto,Monto,Cuenta
2026-05-21 13:15,Ingreso,Ahorros,AHORROS PERSONALES,60000.0,Caja de Ahorros
2026-05-21 13:16,Ingreso,Nómina,TRANFERENCIA,2000.0,Scottiabank
2026-05-21 13:17,Ingreso,Nómina,SALDO DENOMINA,200.0,Santander
2026-05-21 13:18,Ingreso,Nómina,PRESUPUESTO SEMANAL,1300.0,Cartera
2026-05-21 15:37,Gasto,Restaurantes,COMIDA REVOL,-200.0,Cartera
2026-05-21 22:11,Gasto,Cafeterías y Snacks,SNACK PAU,-105.0,Cartera
2026-05-22 15:33,Gasto,Restaurantes,COMIDA DE EQUIPO,-250.0,Cartera
2026-05-22 15:33,Gasto,Gastos Médicos,CITA PAU,-400.0,Cartera
2026-07-17 11:50,Ingreso,Nómina,FONDO DE AHORRO,34000.0,Santander
2026-07-18 22:59,Gasto,Mantenimiento,CAMBIO KIT DE DISTRIBUCION,-7300.0,Santander
2026-07-18 23:01,Gasto,Ahorro,PAGO CAJA DE AHORRO,-2100.0,Santander
2026-07-18 23:02,Gasto,Gastos Familiares,ELIZABETH GASTO,-1500.0,Santander
2026-07-18 23:02,Gasto,Gastos Familiares,GASTO DIARIO,-1500.0,Santander
2026-07-18 23:03,Gasto,Gasolina,GASOLINA DUSTER,-600.0,Scottiabank
2026-07-18 23:08,Gasto,Servicios Fijos,AJUSTE,-1400.0,Scottiabank
2026-07-18 23:10,Ingreso,Ahorros,AJUSTE,200.0,Santander
