Factura,Fecha_Conta,Nombre_Cliente,Nombre_Extran,Transporte,DESTINO,DIRECCION
243949,2026-09-17,OPERADORA HI LA ISLA,HOLIDAY INN ACAPULCO LA ISLA  A0200833 (ACALI),Cobro Regreso,"LA ZANJA, GRO.","BOULEVARD DE LAS NACIONES 2000, LOTE 33 MZA 28 D ZON, 39906, LA ZANJA, GRO"
243950,2026-09-17,EQUILIMP,EQUILIMP QUERETARO,Cobro Destino,"QUERETARO, QUE.","AV PEÑUELAS 5 INT:3, SAN PEDRITO PEÑUELAS, 76148, QUERETARO, QUE"
243951,2026-09-17,HOTELES Y SERVICIOS CASABLANCA,WYNDHAM GARDEN AEROPUERTO (WYA),Cobro Regreso,"APODACA, NL.","AVENIDA ROGELIO GONZALEZ CABALLERO 150, PARQUE INDUSTRIAL STIVA AEROPUERTO, 66626, APODACA, NL"
243952,2026-09-17,ALKOER,STAYBRIDGE SALTILLO (SLWGP),Cobro Regreso,"SALTILLO, COA.","BULEVAR CORPORATIVO 177 MANZANA 1E LOTE 3A, PARQUE CENTRO, 25279, SALTILLO, COA"
243953,2026-09-17,OPERADORA DE ESTANCIAS CREATIVAS,HOLIDAY INN EXPRESS TUXTLA GUTIERREZ LA MARIMBA (TGZRF),Cobro Regreso,"TUXTLA, CHS.","AVENIDA CENTRAL PONIENTE 1254, EL MAGUEY, 29000, TUXTLA, CHS"
243954,2026-09-17,OPERADORA Y SERVICIOS TURISTICOS DE GUANAJUATO,AVID TIJUANA OTAY(TIJAV),Cobro Regreso,"TIJUANA, BC.","CALLE ING JUAN OJEDA ROBLES ING. JUAN OJEDA ROBLES 14802, MISIONES DE CALIFORNIA, 22253, TIJUANA, BC"
243955,2026-09-17,COMERCIALIZADORA SANITARIA,COMSAN,Cobro Regreso,"HERMOSILLO, SON.","AV. LUIS DONALDO COLOSIO #126, CENTRO, 83000, HERMOSILLO, SON"
243956,2026-09-17,AQUA OPERADORA HOTELERA,HOLIDAY INN EXPRESS GUADALAJARA PONIENTE (GDLQP) A0224769,Transporte LOCAL,"ZAPOPAN, JAL.","CARRETERA GUADALAJARA-NOGALES No. 440 int  3, SAN JUAN DE OCOTAN, 45019, ZAPOPAN, JAL"
243957,2026-09-17,HOTELES EURO MEXICO POZA RICA,HOTEL PARIS FC,Tres Guerras Ocurre Oficina,"POZA RICA DE HIDALGO, VER.","BOULEVARD ADOLFO RUIZ CORTINES 1328, CAZONES, 93230, POZA RICA DE HIDALGO, VER"
243958,2026-09-17,ESTANCIA & CONFORT DE ANGELES,HOLIDAY INN EXPRESS & SUITES PUEBLA ANGELOPOLIS  (PUEAN),Cobro Regreso,"SAN ANDRES CHOLULA, PUE.","AV. PERSEO ORIENTE 2502, SAN MARTINITO, 72825, SAN ANDRES CHOLULA, PUE"
243959,2026-09-17,HOTELES EURO MEXICO POZA RICA,HOTEL PARIS FC,Tres Guerras Ocurre Oficina,"POZA RICA DE HIDALGO, VER.","BOULEVARD ADOLFO RUIZ CORTINES 1328, CAZONES, 93230, POZA RICA DE HIDALGO, VER"
