Factura,Fecha_Conta,Nombre_Cliente,Nombre_Extran,Transporte,DESTINO,DIRECCION,Quantity
244114,2026-09-22,DIAMANTE COMERCIALIZADORA DEL PACIFICO,BEST WESTERN GUADALAJARA,Transporte LOCAL,"GUADALAJARA, JAL.","GRECIA 167, CENTRO, 44100, GUADALAJARA, JAL",5
244115,2026-09-22,REBECA PERAZA GONZALEZ,HOTEL Y TU,Transporte LOCAL,"GUADALAJARA, JAL.","LECHUGA #2866, RINCONADA DEL BOSQUE, 44540, GUADALAJARA, JAL",2
244117,2026-09-22,INMOBILIARIA HOTELERA EL PRESIDENTE SAN JOSE DEL CABO,PRESIDENTE INTERCONTINENTAL COZUMEL,Cobro Regreso,"COZUMEL, QR.","CARRETERA A CHANKANAB KM. 6.5, ZONA HOTELERA SUR COZUMEL, 77600, COZUMEL, QR",3
244119,2026-09-22,ALLIANCE HOTEL MANAGEMENT,REAL INN NUEVO LAREDO,Cobro Regreso,"NVO. LAREDO, TAM.","AV. REFORMA S/N, LAGOS, 88290, NVO. LAREDO, TAM",4
244120,2026-09-22,IMPULSORA PLAZA TIJUANA,CITY EXPRESS MATAMOROS (CEMAT),Cobro Regreso,"MATAMOROS, TAM.","AV PEDRO CARDENAS No 3993, INFONAVIT BUENAVISTA, 87390, MATAMOROS, TAM",2
244121,2026-09-22,GRUPO INMOBILIARIO JJJ SANTA FE,STADIA SUITES MEXICO SANTA FE,Cobro Regreso,"CUAJIMALPA DE MORELOS, CMX.","MARIO PANI #60, SANTA FE, 05300, CUAJIMALPA DE MORELOS, CMX",1
244122,2026-09-22,INMOBILIARIA HOTELERA EL PRESIDENTE SAN JOSE DEL CABO,PRESIDENTE INTERCONTINENTAL MONTERREY,Cobro Regreso,"SAN PEDRO GARZA GARCÍA, NL.","AV. BATALLON DE SAN PATRICIO 410, ZONA SAN AGUSTIN, 66260, SAN PEDRO GARZA GARCÍA, NL",3
244123,2026-09-22,HOSPITALIDAD REAL DE LOMAS,"HILTON SAN LUIS POTOSI, MEXICO (SLPHH)",Cobro Regreso,"SAN LUIS POTOSI, SLP.","AV REAL DE LOMAS 1000, LAS LOMAS 4A SECCION, 78218, SAN LUIS POTOSI, SLP",1
244124,2026-09-22,HOSPITALIDAD REAL DE LOMAS,"HILTON SAN LUIS POTOSI, MEXICO (SLPHH)",Cobro Regreso,"SAN LUIS POTOSI, SLP.","AV REAL DE LOMAS 1000, LAS LOMAS 4A SECCION, 78218, SAN LUIS POTOSI, SLP",1
244125,2026-09-22,PROMOTORA GA,CITY EXPRESS CABORCA (CECAB),Cobro Regreso,"CABORCA, SON.","AV DOMINGO QUIROZ Y MORA 132, CENTRO, 83600, CABORCA, SON",6
244126,2026-09-22,MOTELES MAR LEY,MOTEL MAR LEY,Cobro Destino,"MAZATLAN, SIN.","AV. PLAYA GAVIOTAS 226, PLAYA DORADA, 82110, MAZATLAN, SIN",1
