USUARIO,DASHBOARD,SEGUIMIENTO,ENTREGAS,REPORTES,FORMATOS,CENTRO DE DATOS,FINANZAS,ENFOQUE,ACCESS CONTROL,ALERTAS,GANTT,QUEJAS,AGC,AMAZON,BARCELO,COSTOS CEDIS,ANALISIS MENSUAL,DETALLE COSTOS,ENVIOS ESPECIALES,ENVIO DE MUESTRAS,SALIDA DE PT,CHECK LIST AGC,QR AGC,PREGUIA PAQMEX,RECOLECCION 3G,RECOLECCION ONE,CARTA RECLAMO,COTIZACIONES,ASIGNAR FLETERA,CARGAR DATOS,ETIQUETAS,HERRAMIENTAS,WALLET,CAJA CHICA,GASTOS,MORENO,VAZQUEZ,MIGUEL
Rigoberto,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
AGomez,True,True,True,True,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
JMoreno,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True
Cynthia,True,True,True,True,True,False,False,False,False,True,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
Brenda,True,True,True,True,True,True,False,False,False,True,False,False,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
Fialko,True,True,True,True,True,True,False,False,False,True,False,False,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
Atencion3G,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Claudia,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
Ruth,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
Carlos,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True
Sandra,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
ASanchez,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
MarthaC,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
