Factura,Referencia,Pedido,Almacen,Fecha_Conta,Fecha_Venc,Cliente,Nombre_Cliente,Nombre_Extran,Costo$,DiscPrcnt,IVA,Total$,USD$,Codigo,FrgnName,Quantity,UM,Domicilio,Colonia,Cuidad,Estado,CP,Transporte,DESTINO,DIRECCION,Lote,FISCAL,TELEFONO,RFC
242925,HOTEL RAMADA ENCORE,193292.0,1,2026-08-25,2026-09-09,C03826,OPERADORA ENCORE QUERETARO,ENCORE QUERETARO (EQRO),1529.5,0,244.72,1774.22,0.0,4029-A95,,1.0,CJA,CARRETERA QUERETARO-SAN LUIS POTOSÍ #11515,EL SALITRE,QUERETARO,QUE,76230,Cobro Regreso,"QUERETARO, QUE.","CARRETERA QUERETARO-SAN LUIS POTOSÍ #11515, EL SALITRE, 76230, QUERETARO, QUE",,"CARRETERA QUERETARO SAN LUIS POTOSI 11515   EL SALITRE_x000D__x000D_QUERETARO,76230, QUE_x000D_MX",33 3898 6000 EXT192,OEQ1312177T4
242926,,193760.0,1,2026-08-25,2026-08-25,C03913,HOTEL HACIENDA DE LOS GALVEZ,HOTEL HACIENDA DE LOS GALVEZ,3503.7,0,560.59,4064.29,0.0,4016-L04,,3.0,CJA,SAN CRISTOBAL MAGALLANES #20,CENTRO,COLOTLAN,JAL,46200,Cliente Pasa por Mercancia,"COLOTLAN, JAL.","SAN CRISTOBAL MAGALLANES #20, CENTRO, 46200, COLOTLAN, JAL",,"CALLE SAN CRISTOBAL MAGALLANES #20   OTRA NO ESPECIFICADA EN EL CATALOGO_x000D__x000D_COLOTLAN,46200, JAL_x000D_MX",499 992 2035/36,HHG080303VE4
242927,,193745.0,1,2026-08-25,2026-09-24,C09485,OPERADORA DE HOTELES CATEDRAL,HILTON GARDEN INN MEXICO CITY POLANCO (MEXPL),514.08,0,82.25,596.33,0.0,4029-A90,,1.0,CJA,TOLSTOI #22,ANZURES,MIGUEL HIDALGO,CMX,11590,Cobro Regreso,"MIGUEL HIDALGO, CMX.","TOLSTOI #22, ANZURES, 11590, MIGUEL HIDALGO, CMX",,"CALLE IGNACIO ZARAGOZA #37   MORELIA CENTRO_x000D__x000D_MORELIA,58000, MCH_x000D_MX",44 3245 2867,OHC840414UT7
242930,COTIZACION,193761.0,1,2026-08-25,2026-08-25,C09325,BIO SISTEMAS Y SUMINISTROS,BIO SISTEMAS Y SUMINISTROS,2113.2,0,338.11,2451.31,0.0,5013-L44,,2.0,CJA,"CALLE 5 SUR, MZ 10C LT 06",EJIDO SUR,PLAYA DEL CARMEN,QR,77712,Cobro Regreso,"PLAYA DEL CARMEN, QR.","CALLE 5 SUR, MZ 10C LT 06, EJIDO SUR, 77712, PLAYA DEL CARMEN, QR",,"CALLE 5 SUR, MZ 10C LT 06   EJIDO SUR_x000D__x000D_PLAYA DEL CARMEN,77712, QR_x000D_MX",984-145-27-08,BSS110405MP7
242931,11,193747.0,1,2026-08-25,2026-09-24,C03369,OPERADORA TURISTICA SAN NICOLAS,COMFORT INN MONTERREY NORTE (143199),3641.04,0,582.57,4223.61,0.0,4028-L41,,3.0,CJA,AV LOPEZ MATEOS 251,CONSTITUYENTES DE QUERETARO SECTOR 1,SAN NICOLAS DE LOS GARZA,NL,66490,Cobro Regreso,"SAN NICOLAS DE LOS GARZA, NL.","AV LOPEZ MATEOS 251, CONSTITUYENTES DE QUERETARO SECTOR 1, 66490, SAN NICOLAS DE LOS GARZA, NL",,"AV LOPEZ MATEOS 251   CONSTITUYENTES DE QUERETARO SECTOR 1_x000D__x000D_SAN NICOLAS DE LOS GARZA,66490, NL_x000D_MX",01 81 83 05 9300,OTS030303IN7
242932,A COMODATO,193748.0,1,2026-08-25,2026-09-24,C03369,OPERADORA TURISTICA SAN NICOLAS,COMFORT INN MONTERREY NORTE (143199),1672.8,0,267.65,1940.45,0.0,JHJY-0064,,4.0,CJA,AV LOPEZ MATEOS 251,CONSTITUYENTES DE QUERETARO SECTOR 1,SAN NICOLAS DE LOS GARZA,NL,66490,Cobro Regreso,"SAN NICOLAS DE LOS GARZA, NL.","AV LOPEZ MATEOS 251, CONSTITUYENTES DE QUERETARO SECTOR 1, 66490, SAN NICOLAS DE LOS GARZA, NL",,"AV LOPEZ MATEOS 251   CONSTITUYENTES DE QUERETARO SECTOR 1_x000D__x000D_SAN NICOLAS DE LOS GARZA,66490, NL_x000D_MX",01 81 83 05 9300,OTS030303IN7
242933,60,192674.0,1,2026-08-25,2026-09-24,C09213,ADMINISTRADORA INN POTOSINA,RADISSON SAN LUIS POTOSI AEROPUERTO (148705),1213.68,0,194.19,1407.87,0.0,8893-L24,,1.0,CJA,CAMINO AL AEROPUERTO 590,RINCONADA DE LOS MAGUEYES,SAN LUIS POTOSI,SLP,78100,Cobro Regreso,"SAN LUIS POTOSI, SLP.","CAMINO AL AEROPUERTO 590, RINCONADA DE LOS MAGUEYES, 78100, SAN LUIS POTOSI, SLP",,"CARRETERA ESTATAL SLP - AEROPUERTO3492   OTRA NO ESPECIFICADA EN EL CATALOGO_x000D__x000D_SOLEDAD DE GRACIANO SANCHEZ,78430, SLP_x000D_MX",4447072872,AIP2408268P9
242934,61,192675.0,1,2026-08-25,2026-09-24,C09213,ADMINISTRADORA INN POTOSINA,RADISSON SAN LUIS POTOSI AEROPUERTO (148705),1213.68,0,194.19,1407.87,0.0,8893-L24,,1.0,CJA,CAMINO AL AEROPUERTO 590,RINCONADA DE LOS MAGUEYES,SAN LUIS POTOSI,SLP,78100,Cobro Regreso,"SAN LUIS POTOSI, SLP.","CAMINO AL AEROPUERTO 590, RINCONADA DE LOS MAGUEYES, 78100, SAN LUIS POTOSI, SLP",,"CARRETERA ESTATAL SLP - AEROPUERTO3492   OTRA NO ESPECIFICADA EN EL CATALOGO_x000D__x000D_SOLEDAD DE GRACIANO SANCHEZ,78430, SLP_x000D_MX",4447072872,AIP2408268P9
242935,,193329.0,1,2026-08-25,2026-08-25,C09660,FDNR PROVEEDORA,SLEEP INN MONCLOVA 143231,9709.44,0,1553.51,11262.95,0.0,4028-L35,,8.0,CJA,BLVD. HAROLD R PAPE #2008,JARDINES DEL VALLE,MONCLOVA,COA,25732,Cobro Regreso,"MONCLOVA, COA.","BLVD. HAROLD R PAPE #2008, JARDINES DEL VALLE, 25732, MONCLOVA, COA",,"CALLE WASHINGTON #1437   ZARAGOZA_x000D__x000D_NUEVO LAREDO,88060, TAM_x000D_MX",86 7229 4281,FPR240523673
242936,36,193642.0,1,2026-08-25,2026-09-24,C09477,ADMINISTRADORA HOTELES LOA,SLEEP INN PUEBLA (143234),4854.72,0,776.75,5631.48,0.0,4028-L36,,4.0,CJA,CALLE 4 NORTE #1206,CENTRO,PUEBLA,PUE,72000,Cobro Regreso,"PUEBLA, PUE.","CALLE 4 NORTE #1206, CENTRO, 72000, PUEBLA, PUE",,"CALLE DEL NIÑO POBLANO #3120 INT A   SAN JOSE VISTA HERMOSA_x000D__x000D_PUEBLA,72190, PUE_x000D_MX",22 2232 6666,AHL241002EJ1
