Factura,Referencia,Pedido,Almacen,Fecha_Conta,Fecha_Venc,Cliente,Nombre_Cliente,Nombre_Extran,Costo$,DiscPrcnt,IVA,Total$,USD$,Codigo,FrgnName,Quantity,UM,Domicilio,Colonia,Cuidad,Estado,CP,Transporte,DESTINO,DIRECCION,Lote,FISCAL,TELEFONO,RFC
243874,4700248627,194382.0,1,2026-09-17,2026-11-01,C05672,FIDEICOMISO IRREVOCABLE DB/1616,HOLIDAY INN REYNOSA INDUSTRIAL PONIENTE(REXVF),643.77,0,103.0,746.77,0.0,68739022,,1,CJA,CARRETERA MTY-REYNOSA S/N ESQ. LOS ENCINOS,PARQUE INDUSTRIAL VILLA FLORIDA,REYNOSA,TAM,88730,Cobro Regreso,"REYNOSA, TAM.","CARRETERA MTY-REYNOSA S/N ESQ. LOS ENCINOS, PARQUE INDUSTRIAL VILLA FLORIDA, 88730, REYNOSA, TAM",,"AV. FUNDADORES Exterior: 1000 INT: PISO 7   VALLE DEL MIRADOR_x000D__x000D_MONTERREY,64750, NL_x000D_MX",(899) 9090170,DBM121023M10
243875,ORDEN 20144,192504.0,1,2026-09-17,2026-09-17,C07148,INMOBILIARIA PUERTA MAYA,HOLIDAY INN VILLAHERMOSA AEROPUERTO (VSADG),3629.34,0,580.69,4210.03,0.0,68739022,,6,CJA,CARR VILLAHERMOSA MACUSPANA  KM12+740.50 MARGEN IZQUIERDA SN,NO ESPECIFICADA EN EL CATALOGO,LA PALMA,TAB,86275,Cobro Regreso,"LA PALMA, TAB.","CARR VILLAHERMOSA MACUSPANA  KM12+740.50 MARGEN IZQUIERDA SN, NO ESPECIFICADA EN EL CATALOGO, 86275, LA PALMA, TAB",,"CARR VILLAHERMOSA MACUSPANA  KM12+740.50 MARGEN IZQUIERDA SN   NO ESPECIFICADA EN EL CATALOGO_x000D__x000D_LA PALMA,86275, TAB_x000D_MX",993 313 6800,IPM0301131Y8
243876,SERVICIOS TURISTICOS Y HOTELEROS VILLAHERMOSA,192578.0,1,2026-09-17,2026-10-02,C01860,SERVICIOS TURISTICOS Y HOTELEROS VILLAHERMOSA,HOLIDAY INN EXPRESS VILLAHERMOSA TABASCO 2000 (VSASA),1209.78,0,193.56,1403.34,0.0,68739022,,2,CJA,PERIFERICO CARLOS PELLICER CAMARA 4000,LA CHOCA,VILLAHERMOSA,TAB,86037,Cobro Regreso,"VILLAHERMOSA, TAB.","PERIFERICO CARLOS PELLICER CAMARA 4000, LA CHOCA, 86037, VILLAHERMOSA, TAB",,"CIRCUITO INTERIOR CARLOS PELLICER CAMARA 3916   TABASCO 2000_x000D__x000D_VILLAHERMOSA,86035, TAB_x000D_MX",993 310 4650,STH040316M43
243877,VILLAS CORAL AMA DE LLAVES 001,193840.0,1,2026-09-17,2026-10-02,C04472,INMOBILIARIA BALROY,HOLIDAY INN HUATULCO (HUXHI),1094.4,0,175.1,1269.5,0.0,68732292,,2,CJA,BOULEVARD SANTA CRUZ 604,SANTA CRUZ SECTOR A,SANTA MARIA HUATULCO,OAX,70987,Cobro Regreso,"SANTA MARIA HUATULCO, OAX.","BOULEVARD SANTA CRUZ 604, SANTA CRUZ SECTOR A, 70987, SANTA MARIA HUATULCO, OAX",,"BOULEVARD SANTA CRUZ 604   SANTA CRUZ SECTOR A_x000D__x000D_SANTA MARIA HUATULCO,70987, OAX_x000D_MX",958 583 0433,IBA110311LY5
243878,BRUNO,193856.0,1,2026-09-17,2026-10-17,C07617,OPERADORA DE SERVICIOS HOTELEROS CANDEDO,HOLIDAY INN & SUITES GDL CENTRO HISTORICO (GDLCT),604.89,0,96.78,701.67,0.0,68739022,,1,CJA,AV. JUAREZ 211-103,CENTRO,GUADALAJARA,JAL,44100,Transporte LOCAL,"GUADALAJARA, JAL.","AV. JUAREZ 211-103, CENTRO, 44100, GUADALAJARA, JAL",,"AVENIDA JUAREZ 211   GUADALAJARA CENTRO_x000D__x000D_GUADALAJARA,44100, JAL_x000D_MX",33 3560 1200,OSH1905033I3
243879,,193081.0,1,2026-09-17,2026-10-02,C07478,PROMOTORA DEVI,HOLIDAY INN & SUITES MONTERREY APODACA (MTYMI),3024.45,0,483.91,3508.36,0.0,68739022,,5,CJA,AV. MILIMEX No. 120,PARQUE INDUSTRIAL MILIMEX,APODACA,NL,66637,Cobro Regreso,"APODACA, NL.","AV. MILIMEX No. 120, PARQUE INDUSTRIAL MILIMEX, 66637, APODACA, NL",,"CALLE BELISARIO DOMINGUEZ 2020 5TO PISO   OBISPADO_x000D__x000D_MONTERREY,64060, NL_x000D_MX",812 353 4800,PDE1305084L7
243880,4700243402,193424.0,1,2026-09-17,2026-11-01,C03763,FIDEICOMISO IRREVOCABLE DB/1616,HOLIDAY INN PUEBLA LA NORIA (PUELN),1931.31,0,309.01,2240.32,0.0,68739022,,3,CJA,CIRCUITO JUAN PABLO II 1936,EX HACIENDA LA NORIA,PUEBLA,PUE,72410,Cobro Regreso,"PUEBLA, PUE.","CIRCUITO JUAN PABLO II 1936, EX HACIENDA LA NORIA, 72410, PUEBLA, PUE",,"AV. FUNDADORES Exterior: 1000 INT: PISO 7   VALLE DEL MIRADOR_x000D__x000D_MONTERREY,64750, NL_x000D_MX",222 211 9000,DBM121023M10
243881,7852,192618.0,1,2026-09-17,2026-09-17,C00137,AUTELES KALIONCHIZ,HOLIDAY INN MONCLOVA (LOVMX),1209.78,0,193.56,1403.34,0.0,68739022,,2,CJA,BLVD HAROLD R PAPE 200,GUADALUPE,MONCLOVA,COA,25750,Cobro Regreso,"MONCLOVA, COA.","BLVD HAROLD R PAPE 200, GUADALUPE, 25750, MONCLOVA, COA",,"BLVD HAROLD R PAPE 200   GUADALUPE_x000D__x000D_MONCLOVA,25750, COA_x000D_MX",866 632 0025,AKA740320826
243882,4700243765,193425.0,1,2026-09-17,2026-11-01,C07565,FIDEICOMISO IRREVOCABLE DB/1616,CAMINO REAL GUANAJUATO EX HACIENDA SAN XAVIER (BJXCR),820.07,0,131.21,951.28,0.0,68739022,,1,CJA,ALHONDIGA 100,SAN JAVIER,GUANAJUATO,GTO,36020,Cobro Regreso,"GUANAJUATO, GTO.","ALHONDIGA 100, SAN JAVIER, 36020, GUANAJUATO, GTO",,"AV. FUNDADORES 1000 PISO 7   VALLE DEL MIRADOR_x000D__x000D_MONTERREY,64750, NL_x000D_MX",473 102 1500,DBM121023M10
243883,,192655.0,1,2026-09-17,2026-10-02,C09411,OPERADORA HANNAHMAY,HOLIDAY INN CUERNAVACA (CVJMX),1814.67,0,290.35,2105.02,0.0,68739022,,3,CJA,CALLE GALEANA 42,ACAPANTZINGO,CUERNAVACA,MOR,62440,Cobro Regreso,"CUERNAVACA, MOR.","CALLE GALEANA 42, ACAPANTZINGO, 62440, CUERNAVACA, MOR",,"BLVD  DIAZ ORDAZ 86   POBLADO ACAPATZINGO_x000D__x000D_CUERNAVACA,62440, MOR_x000D_MX",777 362 0203,OHA241015BT0
