Factura,Referencia,Pedido,Almacen,Fecha_Conta,Fecha_Venc,Cliente,Nombre_Cliente,Nombre_Extran,Costo$,DiscPrcnt,IVA,Total$,USD$,Codigo,FrgnName,Quantity,UM,Domicilio,Colonia,Cuidad,Estado,CP,Transporte,DESTINO,DIRECCION,Lote,FISCAL,TELEFONO,RFC
243472,CX-09932,194193.0,1,2026-09-04,2026-09-19,C07215,IMPULSORA PLAZA CELAYA,CITY SUITES ANZURES (CSANZ),685.62,0,109.7,795.32,0.0,4018-A23,,1,CJA,LEIBNITZ #120,NUEVA ANZURES,CIUDAD DE MEXICO,CMX,11590,Cobro Regreso,"CIUDAD DE MEXICO, CMX.","LEIBNITZ #120, NUEVA ANZURES, 11590, CIUDAD DE MEXICO, CMX",,"JUAN SALVADOR AGRAZ 69 PISO 12   SANTA FE CUAJIMALPA_x000D__x000D_CUAJIMALPA DE MORELOS,05348, CMX_x000D_MX",55 1101 1370,IPC060309D42
243474,,194202.0,1,2026-09-04,2026-09-19,C00486,INMOBILIARIA ZIG,HOTEL GUADALAJARA PLAZA EXPO,738.72,0,118.2,856.92,0.0,68732295,,1,CJA,MARIANO OTERO No.3261,VERDE VALLE,GUADALAJARA,JAL,44550,Transporte LOCAL,"GUADALAJARA, JAL.","MARIANO OTERO No.3261, VERDE VALLE, 44550, GUADALAJARA, JAL",,"MARIANO OTERO No.3261   VERDE VALLE_x000D__x000D_GUADALAJARA,44550, JAL_x000D_MX",33 3669 0215,IZI790807KA9
243476,HK-11782,194200.0,1,2026-09-04,2026-09-19,C07316,IMPULSORA PLAZA REYNOSA,CITY EXPRESS REYNOSA (CEREX),1288.56,0,206.17,1494.73,0.0,4051-J03,,2,CJA,BLVD HIDALGO No 480,LOMAS REAL DE LOMAS,REYNOSA,TAM,88730,Cobro Regreso,"REYNOSA, TAM.","BLVD HIDALGO No 480, LOMAS REAL DE LOMAS, 88730, REYNOSA, TAM",,"JUAN SALVADOR AGRAZ 69 PISO 12   SANTA FE CUAJIMALPA_x000D__x000D_CUAJIMALPA DE MORELOS,05348, CMX_x000D_MX",01 899 921 2400,IPR030829B48
243482,MOTEL RIO VERDE,194197.0,1,2026-09-04,2026-09-04,C00040,CALZADA DEL OBRERO,MOTEL RIO VERDE,2335.8,0,373.73,2709.53,0.0,4016-L04,,2,CJA,AV MANUEL MORIN NTE 2070,TETLAN RIO VERDE,GUADALAJARA,JAL,44720,Transporte LOCAL,"GUADALAJARA, JAL.","AV MANUEL MORIN NTE 2070, TETLAN RIO VERDE, 44720, GUADALAJARA, JAL",,"AV MANUEL GOMEZ MORIN NORTE 2070   TETLAN RIO VERDE_x000D__x000D_GUADALAJARA,44720, JAL_x000D_MX",333 652 1080,COB020710722
243487,GRUPO HOTELERO MEXICANO,194208.0,1,2026-09-04,2026-09-19,C00237,GRUPO HOTELERO MEXICANO,INDIGO GUADALARA (GDLAL),466.32,0,74.61,540.93,0.0,4052-L41,,1,CJA,AV.LOPEZ MATEOS SUR # 1280,CAMPO DE POLO CHAPALITA,GUADALAJARA,JAL,45040,Transporte LOCAL,"GUADALAJARA, JAL.","AV.LOPEZ MATEOS SUR # 1280, CAMPO DE POLO CHAPALITA, 45040, GUADALAJARA, JAL",,"AV LOPEZ MATEOS SUR 1280   CAMPO POLO_x000D_GUADALAJARA_x000D_GUADALAJARA,45040, JAL_x000D_MX",33 3121 2022,GHM010906CX6
243488,UN-12396,194209.0,1,2026-09-04,2026-09-19,C02016,IMPULSORA PLAZA DE ZACATECAS,CITY EXPRESS ZACATECAS (CEZCL),1288.56,0,206.17,1494.73,0.0,4051-J03,,2,CJA,CALZADA HEROES DE CHAPULTEPEC No.1700,FRACC. CIUDAD ARGENTUM,ZACATECAS,ZAC,98047,Cobro Regreso,"ZACATECAS, ZAC.","CALZADA HEROES DE CHAPULTEPEC No.1700, FRACC. CIUDAD ARGENTUM, 98047, ZACATECAS, ZAC",,"CALZ. HEROES DE CHAPULTEPEC 1966 INT SIN NUMERO   LA ESCONDIDA_x000D__x000D_ZACATECAS,98160, ZAC_x000D_MX",01-492-491-43-90,IPZ0711087R8
243489,YT-14842,194212.0,1,2026-09-04,2026-09-19,C07251,IMPULSORA PLAZA JUAREZ,CITY JUNIOR SAN LUIS POTOSI CARRANZA (CJSLP),1288.56,0,206.17,1494.73,0.0,4051-J03,,2,CJA,AV VENUSTIANO CARRANZA #1513,LOS ALAMOS,SAN LUIS POTOSI,SLP,78174,Cobro Regreso,"SAN LUIS POTOSI, SLP.","AV VENUSTIANO CARRANZA #1513, LOS ALAMOS, 78174, SAN LUIS POTOSI, SLP",,"JUAN SALVADOR AGRAZ #69 PISO 12   SANTA FE CUAJIMALPA_x000D__x000D_CUAJIMALPA DE MORELOS,05348, CMX_x000D_MX",01 444 880 8400,IPJ030829QDA
243491,,194198.0,1,2026-09-04,2026-09-04,C09664,HOTEL HDASM REGLA,HOTEL Y HACIENDA SANTA MARIA REGLA,3320.5,0,531.28,3851.78,0.0,4029-A92,,1,CJA,MARINA NACIONAL 193 TORRE A DESPACHO 306,VERONICA ANZURES,MARINA NACIONAL,CMX,11300,Cobro Destino,"MARINA NACIONAL, CMX.","MARINA NACIONAL 193 TORRE A DESPACHO 306, VERONICA ANZURES, 11300, MARINA NACIONAL, CMX",,"AVENIDA HORACIO 1844 PISO 2 C   POLANCO I SECCION_x000D__x000D_MIGUEL HIDALGO,11510, CMX_x000D_MX",561 033 9995,HHR210225EP6
243492,,194216.0,1,2026-09-04,2026-10-04,C06384,OPERADORA HOTELERA AGSDTL,FAIRFIELD INN & SUITES AGUASCALIENTES,894.0,0,143.04,1037.04,0.0,C06601-J04,,1,CJA,AV. PASEO SAN GERARDO No. 101,SAN GERARDO,AGUASCALIENTES,AGS,20348,Cobro Regreso,"AGUASCALIENTES, AGS.","AV. PASEO SAN GERARDO No. 101, SAN GERARDO, 20348, AGUASCALIENTES, AGS",,"AVENIDA PROLONGACION PASEO DE LA REFORMA 215 INT PISO 10 OF 1012   PASEO DE LAS LOMAS_x000D__x000D_ALVARO OBREGON,01330, CMX_x000D_MX",449 139 7010,OHA171023B98
243493,,194217.0,1,2026-09-04,2026-10-04,C03321,LOS AGAPANTOS,GAMMA RINCON DE SANTIAGO,2150.0,0,344.0,2494.0,0.0,4029-A94,,2,CJA,CAMINO A LA CORTINA No 119-122,CONGREGACION SAN JAVIER,SANTIAGO,NL,67323,Cobro Regreso,"SANTIAGO, NL.","CAMINO A LA CORTINA No 119-122, CONGREGACION SAN JAVIER, 67323, SANTIAGO, NL",,"CAMINO A LA CORTINA 119 122   SANTIAGO_x000D__x000D_SANTIAGO,67323, NL_x000D_MX",81 2525 7000,AGA160414TT4
243494,CM-11583,194221.0,1,2026-09-04,2026-09-19,C07242,IMPULSORA PLAZA JUAREZ,CITY EXPRESS SALAMANCA (CESLM),1005.73,0,160.92,1166.65,0.0,4051-L12,,1,CJA,BLVD. FAJA DE ORO #1805,EL PIRUL,SALAMANCA,GTO,36740,Cobro Destino,"SALAMANCA, GTO.","BLVD. FAJA DE ORO #1805, EL PIRUL, 36740, SALAMANCA, GTO",,"JUAN SALVADOR AGRAZ 69 PISO 12   SANTA FE CUAJIMALPA_x000D__x000D_CUAJIMALPA DE MORELOS,05348, GTO_x000D_MX",01 464 641 8100,IPJ030829QDA
243495,,194222.0,1,2026-09-04,2026-09-04,C09886,OSCAR ALEJANDRO GOMEZ QUIRARTE,HOTEL BOUTIQUE FERROCARRIL 1888,670.5,0,107.28,777.78,0.0,4043-L37,,1,CJA,FERROCARRIL 57,CENTRO,GUADALAJARA,JAL,44100,Transporte LOCAL,"GUADALAJARA, JAL.","FERROCARRIL 57, CENTRO, 44100, GUADALAJARA, JAL",,"CALLE FERROCARRIL 57   GUADALAJARA CENTRO_x000D__x000D_GUADALAJARA,44100, JAL_x000D_MX",333 658 3172,GOQO750930FW4
243496,,194223.0,1,2026-09-04,2026-09-04,C09040,PROPONDECA,AUTO HOTEL INTIMISIMO,9119.9,0,1459.18,10579.08,0.0,4016-J07,,10,CJA,AV. 1 LOTE 1 #MANZANA 11,SAN JOSE,VALENTE DIAZ,VER,91917,Cobro Destino,"VALENTE DIAZ, VER.","AV. 1 LOTE 1 #MANZANA 11, SAN JOSE, 91917, VALENTE DIAZ, VER",,"PRIV MANUEL AVILA CAMACHO #17   COSTA VERDE_x000D__x000D_BOCA DEL RIO,94294, VER_x000D_MX",22 9369 6479,PRO1511105K1
243497,220727 maritza,194224.0,1,2026-09-04,2026-09-04,C09817,GREEN BY HIT,HOTEL KYRIOS,9119.9,0,1459.18,10579.08,0.0,4016-J07,,10,CJA,CALZADA ADOLFO RUIZ CORTINES S/N,COSTA VERDE,BOCA DEL RIO,VER,94294,Cobro Destino,"BOCA DEL RIO, VER.","CALZADA ADOLFO RUIZ CORTINES S/N, COSTA VERDE, 94294, BOCA DEL RIO, VER",,"CALZADA ADOLFO RUIZ CORTINES S/N   COSTA VERDE_x000D__x000D_BOCA DEL RIO,94294, VER_x000D_MX",229 457 3159,GBH1811207G9
243498,220726 maritza,194225.0,1,2026-09-04,2026-09-04,C09039,ISOLINO FERNANDEZ VIDAL,AUTO HOTEL INTIMISIMO,9119.9,0,1459.18,10579.08,0.0,4016-J07,,10,CJA,CALLE GONZALEZ PAGES #1255,CENTRO,VERACRUZ,VER,91700,Cobro Destino,"VERACRUZ, VER.","CALLE GONZALEZ PAGES #1255, CENTRO, 91700, VERACRUZ, VER",,"AV. GONZALEZ PAGES #1255   VERACRUZ CENTRO_x000D__x000D_VERACRUZ,91700, VER_x000D_MX",22 9172 4359,FEVI7612037QA
243499,LL-04582,194227.0,1,2026-09-04,2026-09-19,C07183,OPERASUR,CITY EXPRESS COMITAN (CECJT),644.28,0,103.08,747.36,0.0,4051-J03,,1,CJA,BLVD. DE LAS FEDERACIONES KM 1260 No. 4023,BARRIO DE ACHICHIMÁ ACAPETAHUA,COMITÁN DE DOMÍNGUEZ,CHS,30039,Cobro Regreso,"COMITÁN DE DOMÍNGUEZ, CHS.","BLVD. DE LAS FEDERACIONES KM 1260 No. 4023, BARRIO DE ACHICHIMÁ ACAPETAHUA, 30039, COMITÁN DE DOMÍNGUEZ, CHS",,"AV. DEL ROBLE #2   FATIMA_x000D__x000D_SAN CRISTOBAL DE LAS CASAS CHIAPAS,29264, CHS_x000D_MX",01-963-632-9930,OPE180309MR7
243505,4700255158,194175.0,1,2026-09-07,2026-10-22,C00030,INMO F,ALOFT GUADALAJARA SUR (GDLPU 5528),596.5,0,95.44,691.94,0.0,4016-L30,,1,CJA,AV. PUNTO SUR 235,LOS GAVILANES,TLAJOMULCO DE ZUÑIGA,JAL,45645,Transporte LOCAL,"TLAJOMULCO DE ZUÑIGA, JAL.","AV. PUNTO SUR 235, LOS GAVILANES, 45645, TLAJOMULCO DE ZUÑIGA, JAL",,"CALLE SAN LUIS GONZAGA 4511   JARDINES DE GUADALUPE_x000D__x000D_ZAPOPAN,45030, JAL_x000D_MX",331 062 2718,IFX051129IY5
243506,OC:NAVA003,194186.0,1,2026-09-07,2026-10-07,C09328,COMERCIALIZADORA SANITARIA,COMSAN,6260.63,25,1001.7,7262.33,0.0,4018-L16,,7,CJA,AV. LUIS DONALDO COLOSIO #126,CENTRO,HERMOSILLO,SON,83000,Cobro Regreso,"HERMOSILLO, SON.","AV. LUIS DONALDO COLOSIO #126, CENTRO, 83000, HERMOSILLO, SON",,"BLVD. LUIS ENCINAS JOHNSON #214   HERMOSILLO CENTRO_x000D__x000D_HERMOSILLO,83000, SON_x000D_MX",662 212 1221,CSA950626BE2
